epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4354,1.41562,3.02474,1.27621,0.03566,0.87896,0.241,0.1216,1.6079,2.99965,1.26949,0.0003334,0.0003334,0.0003334
2,28.3576,1.38353,1.83235,1.1821,0.03338,0.67809,0.13348,0.06368,1.90495,2.96522,1.5165,0.000669937,0.000669937,0.000669937
3,40.6642,1.35961,1.43041,1.17469,0.64293,0.1927,0.38253,0.19398,1.77261,2.3284,1.40599,0.000992612,0.000992612,0.000992612
4,54.0001,1.31813,1.2985,1.16148,0.51322,0.41759,0.41637,0.21987,1.69449,2.12729,1.55016,0.00130142,0.00130142,0.00130142
5,67.1814,1.32227,1.31149,1.1691,0.49758,0.50832,0.47079,0.25471,1.59333,1.81991,1.45184,0.00153497,0.00153497,0.00153497
6,85.9737,1.26389,1.22327,1.14226,0.39613,0.43751,0.35988,0.19586,1.63544,2.0175,1.42996,0.00150197,0.00150197,0.00150197
7,105.444,1.2706,1.18896,1.13891,0.5847,0.71697,0.66021,0.35107,1.5631,1.34065,1.40215,0.00146896,0.00146896,0.00146896
8,124.032,1.23551,1.17577,1.12309,0.6234,0.67032,0.6594,0.3525,1.559,1.3522,1.35291,0.00143595,0.00143595,0.00143595
9,137.302,1.24274,1.13181,1.1302,0.60012,0.66786,0.65378,0.34657,1.58028,1.31769,1.35887,0.00140295,0.00140295,0.00140295
10,148.165,1.22888,1.11086,1.11934,0.63373,0.71389,0.71567,0.39257,1.52777,1.22585,1.29101,0.00136994,0.00136994,0.00136994
11,159.094,1.22028,1.08972,1.11815,0.60162,0.71807,0.64862,0.30677,1.75118,1.26398,1.5056,0.00133693,0.00133693,0.00133693
12,169.648,1.22737,1.05533,1.10205,0.71545,0.73028,0.77676,0.38937,1.66768,1.10954,1.42824,0.00130393,0.00130393,0.00130393
13,180.473,1.18937,1.01987,1.09634,0.68395,0.69727,0.72868,0.36399,1.6735,1.20183,1.432,0.00127092,0.00127092,0.00127092
14,191.071,1.19352,1.01443,1.10472,0.70474,0.74643,0.75948,0.39307,1.58813,1.09235,1.3526,0.00123791,0.00123791,0.00123791
15,201.687,1.15979,1.00893,1.08392,0.64578,0.71851,0.72179,0.37581,1.62369,1.15415,1.36151,0.00120491,0.00120491,0.00120491
16,212.41,1.18493,0.96873,1.08897,0.66953,0.74216,0.74556,0.39701,1.55913,1.10611,1.3138,0.0011719,0.0011719,0.0011719
17,223.062,1.1971,0.98799,1.09653,0.65864,0.61834,0.6842,0.35051,1.60153,1.34396,1.35517,0.00113889,0.00113889,0.00113889
18,233.821,1.17612,0.97381,1.08482,0.66849,0.73833,0.74416,0.36016,1.72986,1.09543,1.47617,0.00110589,0.00110589,0.00110589
19,244.433,1.14193,0.93127,1.0714,0.66723,0.76471,0.75802,0.36952,1.71113,1.06749,1.46966,0.00107288,0.00107288,0.00107288
20,255.319,1.16656,0.91217,1.07317,0.64502,0.74398,0.72446,0.34306,1.74998,1.12893,1.4487,0.00103987,0.00103987,0.00103987
21,266.28,1.1452,0.88394,1.05977,0.62854,0.76027,0.71963,0.3528,1.67368,1.11264,1.41993,0.00100687,0.00100687,0.00100687
22,276.881,1.13657,0.88351,1.06723,0.66987,0.743,0.75005,0.39911,1.54105,1.06204,1.33696,0.000973861,0.000973861,0.000973861
23,287.63,1.15249,0.89046,1.07302,0.65767,0.74164,0.74486,0.40566,1.52333,1.06319,1.32622,0.000940855,0.000940855,0.000940855
24,298.357,1.13646,0.87696,1.07245,0.71732,0.7144,0.72823,0.38657,1.56543,1.12614,1.36198,0.000907848,0.000907848,0.000907848
25,308.993,1.12035,0.8526,1.05229,0.70096,0.73704,0.7749,0.39587,1.62878,1.01731,1.39328,0.000874842,0.000874842,0.000874842
26,319.636,1.14322,0.85714,1.07185,0.61317,0.74928,0.67993,0.35992,1.53736,1.21302,1.32814,0.000841835,0.000841835,0.000841835
27,330.313,1.09163,0.84175,1.04633,0.68714,0.78277,0.74746,0.39496,1.56832,1.0436,1.36015,0.000808828,0.000808828,0.000808828
28,340.935,1.08065,0.84645,1.04997,0.73926,0.71954,0.74419,0.38797,1.55086,1.04754,1.3273,0.000775822,0.000775822,0.000775822
29,351.577,1.0824,0.82274,1.04184,0.75501,0.72414,0.74966,0.39925,1.52728,1.07409,1.3481,0.000742815,0.000742815,0.000742815
30,362.363,1.09858,0.80333,1.05639,0.79853,0.71875,0.79789,0.42301,1.5491,1.01032,1.36875,0.000709809,0.000709809,0.000709809
31,373.095,1.05857,0.79234,1.03958,0.72381,0.7707,0.79757,0.41457,1.56488,0.95245,1.37038,0.000676802,0.000676802,0.000676802
32,383.836,1.05987,0.7612,1.03712,0.7224,0.75854,0.79224,0.42517,1.56194,0.96342,1.36184,0.000643795,0.000643795,0.000643795
33,394.564,1.05894,0.77915,1.03463,0.71178,0.73725,0.77559,0.39902,1.60584,0.9764,1.4067,0.000610789,0.000610789,0.000610789
34,405.318,1.06068,0.77616,1.04926,0.69356,0.79458,0.80218,0.44154,1.51316,0.91809,1.33703,0.000577782,0.000577782,0.000577782
35,416.1,1.04491,0.74016,1.03049,0.75779,0.75619,0.80048,0.43036,1.50908,0.94478,1.32056,0.000544776,0.000544776,0.000544776
36,426.817,1.03587,0.74686,1.02762,0.71905,0.77987,0.78128,0.41297,1.54633,0.9757,1.37404,0.000511769,0.000511769,0.000511769
37,437.502,1.00277,0.69866,1.01218,0.7181,0.77871,0.78501,0.41389,1.56933,0.97377,1.41221,0.000478762,0.000478762,0.000478762
38,448.128,1.05192,0.73003,1.03955,0.77413,0.75044,0.79953,0.42637,1.55162,0.93717,1.37512,0.000445756,0.000445756,0.000445756
39,458.8,1.0425,0.73006,1.03046,0.77333,0.76234,0.79474,0.4163,1.57414,0.94095,1.38305,0.000412749,0.000412749,0.000412749
