epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,400.853,1.46097,2.69809,1.27514,0.38673,0.4487,0.31452,0.14349,1.69462,2.63932,1.30335,0.0003334,0.0003334,0.0003334
2,792.185,1.34547,1.49902,1.16986,0.47583,0.28761,0.36123,0.18321,1.65506,2.29912,1.32889,0.000669937,0.000669937,0.000669937
3,1153.93,1.32395,1.3668,1.13207,0.58979,0.58438,0.56914,0.27581,1.79266,1.72053,1.44259,0.000992612,0.000992612,0.000992612
4,1258.66,1.30877,1.2814,1.13805,0.62151,0.46,0.48895,0.2253,1.87032,2.18376,1.49793,0.00130142,0.00130142,0.00130142
5,1364.35,1.27559,1.21151,1.1411,0.60347,0.64333,0.62774,0.30122,1.78351,1.67331,1.47068,0.00153497,0.00153497,0.00153497
6,1469.87,1.32058,1.20329,1.13989,0.54505,0.62626,0.58637,0.28038,1.74459,1.5958,1.41744,0.00150197,0.00150197,0.00150197
7,1575.3,1.24979,1.14214,1.11307,0.60712,0.70568,0.65827,0.33423,1.71117,1.48726,1.40349,0.00146896,0.00146896,0.00146896
8,1679.46,1.23267,1.12249,1.11733,0.68315,0.66529,0.68054,0.35713,1.5887,1.34299,1.32723,0.00143595,0.00143595,0.00143595
9,1784.53,1.25569,1.11722,1.11929,0.63501,0.64721,0.63278,0.33371,1.60503,1.45623,1.3708,0.00140295,0.00140295,0.00140295
10,1889.73,1.25222,1.07751,1.11895,0.66448,0.68809,0.73186,0.37658,1.60965,1.26137,1.33705,0.00136994,0.00136994,0.00136994
11,1994.42,1.21964,1.05268,1.10063,0.61556,0.75083,0.71751,0.37263,1.65214,1.20742,1.40376,0.00133693,0.00133693,0.00133693
12,2099.63,1.16841,0.99366,1.07647,0.69686,0.7501,0.78044,0.39213,1.66977,1.17873,1.41817,0.00130393,0.00130393,0.00130393
13,2203.77,1.17572,0.95676,1.08943,0.6527,0.6554,0.69167,0.3666,1.55149,1.44495,1.34855,0.00127092,0.00127092,0.00127092
14,2309.66,1.1637,0.96629,1.06948,0.64089,0.73207,0.73634,0.38075,1.58238,1.2089,1.35969,0.00123791,0.00123791,0.00123791
15,2414.85,1.17149,0.94806,1.08313,0.67097,0.77986,0.79119,0.41836,1.574,1.08142,1.35664,0.00120491,0.00120491,0.00120491
16,2520.4,1.16827,0.96665,1.08454,0.69315,0.7421,0.73901,0.40842,1.53382,1.14032,1.3303,0.0011719,0.0011719,0.0011719
17,2626.21,1.16763,0.96491,1.07661,0.63262,0.74064,0.73668,0.3861,1.55858,1.15676,1.34543,0.00113889,0.00113889,0.00113889
18,2731.41,1.15753,0.9291,1.07491,0.77351,0.70868,0.76934,0.40802,1.57151,1.06889,1.35791,0.00110589,0.00110589,0.00110589
19,2837.39,1.18212,0.92409,1.07032,0.74137,0.72752,0.76456,0.42665,1.4981,1.13521,1.29208,0.00107288,0.00107288,0.00107288
20,2942.22,1.14751,0.89634,1.07448,0.66332,0.75509,0.74838,0.39692,1.59214,1.13823,1.35771,0.00103987,0.00103987,0.00103987
21,3048.53,1.12983,0.87813,1.06171,0.69697,0.69287,0.71589,0.35443,1.68374,1.17591,1.47517,0.00100687,0.00100687,0.00100687
22,3153.87,1.12251,0.86502,1.0579,0.73045,0.67291,0.6978,0.36534,1.59575,1.31737,1.41826,0.000973861,0.000973861,0.000973861
23,3259.36,1.12866,0.85219,1.05635,0.67117,0.73804,0.73545,0.3893,1.57507,1.14433,1.38863,0.000940855,0.000940855,0.000940855
24,3364.96,1.12443,0.84636,1.06734,0.72138,0.72515,0.7585,0.38701,1.65168,1.05357,1.42867,0.000907848,0.000907848,0.000907848
25,3469.92,1.10952,0.82874,1.05535,0.75625,0.71842,0.78207,0.39337,1.66687,1.08757,1.43919,0.000874842,0.000874842,0.000874842
26,3575.26,1.10039,0.80498,1.05087,0.64893,0.72355,0.72713,0.39921,1.51565,1.21493,1.34363,0.000841835,0.000841835,0.000841835
27,3680.22,1.07505,0.77114,1.04045,0.65677,0.7519,0.72746,0.37168,1.58397,1.09833,1.39885,0.000808828,0.000808828,0.000808828
28,3785.72,1.08408,0.77852,1.03753,0.70692,0.73191,0.78729,0.39555,1.65298,1.00881,1.4521,0.000775822,0.000775822,0.000775822
29,3891.74,1.06609,0.78722,1.03495,0.69724,0.74131,0.75189,0.39223,1.58595,1.06974,1.398,0.000742815,0.000742815,0.000742815
30,3996.2,1.06315,0.76134,1.03503,0.74422,0.6997,0.78256,0.4159,1.57637,0.99786,1.38599,0.000709809,0.000709809,0.000709809
31,4101.23,1.05096,0.78079,1.03691,0.75169,0.75193,0.77242,0.41192,1.54386,1.01771,1.37104,0.000676802,0.000676802,0.000676802
32,4206.17,1.03856,0.75352,1.0292,0.75579,0.73405,0.78158,0.41663,1.55097,1.08988,1.37012,0.000643795,0.000643795,0.000643795
33,4311.98,1.04836,0.74615,1.03133,0.71893,0.77183,0.78294,0.38626,1.68638,1.03574,1.4984,0.000610789,0.000610789,0.000610789
34,4416.97,1.06342,0.73356,1.04228,0.72533,0.78025,0.80175,0.43321,1.51935,0.95183,1.35313,0.000577782,0.000577782,0.000577782
35,4521.58,1.02367,0.72087,1.02024,0.76026,0.71158,0.75223,0.38587,1.5737,1.14185,1.42292,0.000544776,0.000544776,0.000544776
36,4625.76,1.04803,0.7222,1.03077,0.72064,0.77607,0.78156,0.40155,1.60086,1.00122,1.44156,0.000511769,0.000511769,0.000511769
37,4730.09,1.02055,0.70141,1.02209,0.77915,0.73379,0.79843,0.43208,1.53474,0.95145,1.37904,0.000478762,0.000478762,0.000478762
38,4835.18,1.02901,0.68602,1.02095,0.75561,0.75483,0.79355,0.43756,1.50484,0.95534,1.3347,0.000445756,0.000445756,0.000445756
39,4939.76,1.03755,0.6949,1.01496,0.73132,0.77017,0.78987,0.39412,1.65203,0.97658,1.49132,0.000412749,0.000412749,0.000412749
